seq,send_timestamp_ns,recv_timestamp_ns,rtt_ns
556,1777463871154631502,1777463871156585355,1953853
557,1777463871166754356,1777463871173549038,6794682
558,1777463871183697722,1777463871190504228,6806506
559,1777463871200664704,1777463871210602666,9937962
560,1777463871220732793,1777463871223243862,2511069
561,1777463871233397189,1777463871247663814,14266625
562,1777463871257938874,1777463871288115384,30176510
563,1777463871298371015,1777463871300392055,2021040
564,1777463871310578432,1777463871313036326,2457894
565,1777463871323191916,1777463871325085973,1894057
566,1777463871335277078,1777463871353880241,18603163
567,1777463871364030498,1777463871370677568,6647070
568,1777463871380850158,1777463871397964831,17114673
569,1777463871408219150,1777463871411227721,3008571
570,1777463871421379773,1777463871423799309,2419536
571,1777463871434056566,1777463871448352847,14296281
572,1777463871458611566,1777463871462768217,4156651
573,1777463871472907023,1777463871474779782,1872759
574,1777463871484964387,1777463871490171044,5206657
575,1777463871500334513,1777463871511961170,11626657
576,1777463871522115200,1777463871526253640,4138440
577,1777463871536375834,1777463871541929540,5553706
578,1777463871552087262,1777463871557438134,5350872
579,1777463871567565511,1777463871577708715,10143204
580,1777463871587878567,1777463871596864188,8985621
581,1777463871607042175,1777463871612177959,5135784
582,1777463871622454328,1777463871624438422,1984094
583,1777463871634583997,1777463871636918650,2334653
584,1777463871647022787,1777463871665140110,18117323
585,1777463871675295082,1777463871679590362,4295280
586,1777463871689724157,1777463871695825728,6101571
587,1777463871706018924,1777463871714623467,8604543
588,1777463871724757225,1777463871727516846,2759621
589,1777463871737667237,1777463871739548545,1881308
590,1777463871749704004,1777463871770551345,20847341
591,1777463871780822965,1777463871811060442,30237477
592,1777463871821219678,1777463871828281320,7061642
593,1777463871838462195,1777463871840300638,1838443
594,1777463871850441063,1777463871908542688,58101625
595,1777463871918698335,1777463871921488778,2790443
596,1777463871931630021,1777463871935359498,3729477
597,1777463871945536939,1777463871952283060,6746121
598,1777463871962469545,1777463871964223093,1753548
599,1777463871974497669,1777463871976443669,1946000
600,1777463871986619132,1777463871990268261,3649129
601,1777463872000400689,1777463872011529079,11128390
602,1777463872021672729,1777463872033030079,11357350
603,1777463872043191986,1777463872045107964,1915978
604,1777463872055250052,1777463872068935165,13685113
605,1777463872079234706,1777463872088921807,9687101
606,1777463872099204650,1777463872108991952,9787302
607,1777463872119171966,1777463872126660102,7488136
608,1777463872136822501,1777463872139400739,2578238
609,1777463872149573206,1777463872156519095,6945889
610,1777463872166651752,1777463872169188327,2536575
611,1777463872179470558,1777463872181412941,1942383
612,1777463872191730358,1777463872193523539,1793181
613,1777463872203796828,1777463872211114636,7317808
614,1777463872221390963,1777463872227915247,6524284
615,1777463872238129609,1777463872241276000,3146391
616,1777463872251452036,1777463872258477317,7025281
617,1777463872268743887,1777463872278182217,9438330
618,1777463872288323379,1777463872296406196,8082817
619,1777463872306610514,1777463872343297661,36687147
620,1777463872353609876,1777463872355569306,1959430
621,1777463872365721497,1777463872384364195,18642698
622,1777463872394678795,1777463872396902138,2223343
623,1777463872407183111,1777463872421429633,14246522
624,1777463872431588102,1777463872434906443,3318341
625,1777463872445053113,1777463872446918971,1865858
626,1777463872457135856,1777463872462919542,5783686
